index,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
26,539.65,18.0,1,35,1,2,94.49,0.0,76.99,297.87,0.0,1.16,131.71,0.0,0.0,0.0,0.0,0.0,376.03
27,377.97,23.0,1,31,0,2,185.14,0.0,14.82,191.11,0.0,0.0,205.94,0.0,0.0,0.0,0.0,0.0,205.94
28,395.47,12.0,1,38,0,1,375.02,0.0,39.54,335.66,0.0,5.36,228.23,0.0,0.0,0.0,0.16,0.55,381.81
29,551.92,13.0,1,42,0,3,28.78,0.0,80.87,431.18,0.0,27.26,116.4,0.0,0.0,0.0,0.0,0.0,539.31
30,286.19,11.0,1,44,1,1,86.83,0.0,13.76,66.39,0.0,0.64,81.41,0.0,0.0,0.0,0.62,0.0,81.41
31,581.81,20.0,1,25,0,1,287.67,0.0,30.53,279.83,2.12,4.17,291.27,0.0,0.0,0.0,2.84,10.16,339.81
32,315.42,18.0,0,46,0,1,322.43,0.0,26.24,302.43,0.0,0.0,244.98,0.0,0.0,0.0,0.0,0.0,328.67
33,260.39,18.0,1,59,1,1,0.0,0.0,29.2,195.22,0.0,0.02,13.24,0.0,0.0,4.05,0.0,0.0,228.49
34,404.15,10.0,1,46,1,1,0.0,0.0,104.75,328.48,0.0,0.0,15.82,0.0,0.0,0.0,0.0,0.0,433.23
35,523.43,10.0,1,21,1,2,72.97,0.0,19.18,121.31,0.02,0.07,47.11,0.0,0.0,0.0,0.65,0.0,141.23
36,943.57,17.0,1,30,0,2,0.0,0.0,34.85,989.22,0.0,0.0,7.84,0.0,0.0,0.0,0.0,0.0,1024.07
37,545.8,21.0,1,27,0,1,475.66,0.0,72.39,446.52,0.0,2.23,451.26,0.0,0.0,0.0,0.0,0.0,521.15
38,547.04,23.0,1,28,0,1,491.94,0.0,58.49,425.85,0.0,0.0,484.34,0.0,0.0,0.0,0.0,0.0,484.34
39,222.21,11.0,1,26,0,1,231.09,0.0,46.04,108.49,0.0,0.0,154.53,0.0,0.0,0.0,0.0,0.0,154.53
40,244.82,15.0,1,34,0,1,431.83,0.0,33.22,161.82,0.0,0.2,124.49,0.0,0.0,0.0,0.0,0.0,195.25
41,550.54,15.0,1,38,0,1,322.44,0.0,74.22,257.92,0.0,0.03,154.74,0.0,0.0,0.63,0.0,0.0,332.81
42,393.0,21.0,1,32,0,1,322.81,0.0,39.41,255.37,0.0,0.0,217.09,0.0,0.0,0.0,0.0,0.0,294.77
43,820.61,10.0,1,37,0,1,0.0,0.0,155.46,587.76,0.0,163.29,473.54,0.0,0.0,0.39,0.0,0.0,906.91
44,283.59,14.0,0,52,0,1,229.45,0.0,15.26,222.9,0.0,0.0,212.42,0.0,0.0,0.0,0.0,0.0,238.16
45,145.55,12.0,0,27,0,1,80.81,0.0,23.98,59.18,0.0,9.36,65.93,0.0,0.0,0.0,0.0,0.7,93.93
46,276.52,16.0,1,37,0,2,479.6,0.0,30.11,173.5,0.0,35.19,70.48,0.0,0.0,1.46,0.0,2.75,245.76
47,342.98,22.0,0,34,0,1,0.0,0.0,95.56,250.68,0.0,1.45,10.29,0.0,0.0,0.0,0.0,0.0,347.7
48,352.68,12.0,1,29,0,2,330.08,0.0,17.15,81.39,0.0,0.0,52.29,0.0,0.0,0.0,0.0,0.23,99.01
49,432.79,21.0,1,37,0,1,138.23,0.0,150.44,85.95,0.0,2.75,128.41,0.0,0.0,3.58,0.0,0.0,242.72
50,669.1,11.0,1,23,0,2,0.0,0.0,43.17,627.07,0.0,1.94,191.55,0.0,0.0,0.0,0.0,0.0,672.18
51,270.29,11.0,0,44,1,1,0.0,0.0,58.2,184.56,0.02,37.84,76.43,0.0,0.0,0.0,0.0,0.0,280.63
52,266.48,15.0,1,22,0,1,0.0,0.0,26.76,259.97,0.0,0.55,47.74,0.0,0.0,0.0,1.11,0.0,288.38
53,475.41,16.0,0,22,0,1,1281.78,0.0,8.9,426.94,0.0,0.31,17.96,0.0,0.0,0.0,0.0,0.0,436.15
54,511.17,11.0,1,44,0,1,222.37,0.0,22.92,240.82,0.0,0.28,117.12,0.0,0.0,0.0,0.0,0.0,264.02
55,355.88,11.0,1,21,1,2,467.94,0.0,77.73,148.61,0.0,9.39,11.94,0.0,0.0,1.58,0.0,0.0,237.31
56,1765.03,23.0,1,42,1,1,1147.38,0.0,97.67,1049.1,0.0,4.75,1006.69,0.0,0.0,0.4,0.0,0.0,1151.92
57,124.85,11.0,0,46,0,1,0.0,0.0,22.0,64.28,0.0,0.0,58.52,0.0,0.0,0.0,0.0,0.0,86.28
58,283.92,10.0,1,41,1,1,0.0,0.0,26.52,167.03,0.15,1.24,95.42,0.0,0.0,13.9,0.0,0.0,208.84
59,211.54,11.0,0,32,0,1,242.63,0.0,55.88,174.91,0.68,1.04,138.91,0.0,0.0,0.0,0.0,0.0,232.51
60,318.39,10.0,0,42,1,2,0.0,0.0,15.69,215.62,4.27,55.22,114.79,0.0,0.0,0.0,0.0,0.0,290.8
61,306.41,22.0,0,39,1,2,0.0,0.0,79.49,64.66,1.06,0.13,10.3,0.0,0.0,0.0,0.38,0.0,145.72
62,80.54,19.0,0,30,0,1,0.0,0.0,20.33,62.19,0.0,3.84,6.37,0.0,0.0,0.0,0.0,0.0,86.36
63,200.91,19.0,1,22,0,1,142.13,0.0,83.18,71.3,0.0,0.0,149.6,0.0,0.0,0.0,0.0,0.0,154.48
64,220.63,10.0,1,42,1,1,0.0,0.0,101.84,132.03,0.0,0.0,49.39,0.0,0.0,7.37,0.0,0.0,241.24
65,310.82,11.0,1,31,1,1,0.0,0.0,24.76,287.42,0.0,0.3,15.71,0.0,0.0,0.0,0.0,0.0,312.48
66,745.72,18.0,1,37,0,1,0.0,0.0,180.49,416.94,0.0,46.45,184.33,0.0,0.0,0.0,0.0,0.0,643.88
67,233.19,13.0,1,48,0,1,104.48,0.0,2.19,123.09,0.0,0.0,96.58,0.0,0.0,0.0,0.0,0.0,125.28
68,261.38,18.0,1,40,0,1,125.83,0.0,52.08,86.97,0.0,3.43,110.49,0.0,0.0,1.33,0.0,0.0,143.81
69,149.86,11.0,0,53,0,1,0.0,0.0,11.48,128.4,0.0,0.0,1.48,0.0,0.0,0.0,0.0,0.0,139.88
70,686.4,15.0,1,50,0,1,302.23,0.0,16.06,283.26,0.0,1.26,77.42,0.0,0.0,0.35,0.0,0.9,302.72
71,473.21,11.0,1,32,0,1,400.71,0.0,94.23,373.06,0.0,5.35,406.36,0.0,0.0,0.0,0.0,0.25,473.14
72,526.78,11.0,1,25,0,1,0.0,0.0,35.47,475.63,0.0,10.07,117.45,0.0,0.0,0.0,0.0,0.0,521.18
73,504.55,10.0,0,37,0,1,0.0,0.0,15.14,104.0,0.0,0.11,27.78,0.0,0.0,0.0,0.0,0.0,119.25
74,226.14,19.0,1,19,0,1,137.85,0.0,11.45,133.94,0.0,7.69,103.1,0.0,0.0,0.0,0.45,0.0,153.54
75,260.24,15.0,0,40,0,1,192.39,0.0,11.9,193.51,0.0,1.03,92.4,0.0,0.0,0.0,0.0,0.0,206.44
76,594.02,14.0,1,36,0,1,503.36,0.0,24.63,446.81,0.0,0.4,291.24,0.0,0.0,0.0,40.07,0.0,511.9
77,205.77,11.0,1,21,1,1,0.0,0.0,109.34,60.91,0.66,27.12,32.22,0.0,0.0,0.0,26.94,0.0,224.96
78,90.47,23.0,1,25,0,1,63.11,0.0,16.87,67.65,0.0,2.29,70.93,0.0,0.0,7.15,0.0,0.0,93.95
79,730.02,14.0,1,40,0,1,676.49,0.0,168.75,504.45,0.0,3.9,379.11,0.0,0.0,1.25,5.93,0.59,685.46
80,411.84,23.0,1,28,0,1,0.0,0.0,52.48,205.74,0.0,1.66,28.77,0.0,0.0,0.62,0.0,0.0,260.5
81,382.52,10.0,1,36,0,1,0.0,0.0,27.93,342.33,0.0,0.0,124.47,0.0,0.0,0.0,3.17,0.0,373.43
82,419.18,17.0,1,25,0,1,450.0,0.0,30.91,380.37,0.0,49.61,254.11,0.0,0.0,0.0,0.0,0.0,460.89
83,382.36,11.0,1,20,0,2,0.0,0.0,11.11,327.49,0.0,27.02,120.14,0.0,0.0,0.0,0.83,0.0,366.45
84,965.45,21.0,1,26,0,1,0.0,0.0,60.57,631.03,0.0,3.22,113.34,0.0,0.0,0.0,0.0,0.0,694.82
85,339.36,18.0,1,31,0,1,241.7,0.0,26.03,246.21,0.0,0.0,277.34,0.0,0.0,0.0,5.1,0.0,277.34
86,302.21,19.0,0,59,0,1,342.41,0.0,10.77,201.87,0.0,0.0,44.13,0.0,0.0,0.0,0.0,0.0,212.64
87,210.61,13.0,1,42,0,1,0.0,0.0,25.45,112.88,0.0,0.0,68.02,0.0,0.0,0.0,0.0,0.0,138.33
88,1230.72,16.0,1,43,0,1,0.0,0.0,52.0,878.61,0.0,0.0,118.39,0.0,0.0,0.0,0.0,0.0,930.61
89,471.49,21.0,1,42,0,1,424.5,0.0,102.68,347.8,0.0,9.62,387.25,0.0,0.0,0.32,0.0,2.1,464.62
90,182.39,20.0,1,23,0,1,137.8,0.0,12.63,163.09,0.0,0.0,101.99,0.0,0.0,0.0,0.29,0.0,176.01
91,1687.74,10.0,1,46,1,1,0.0,0.0,1052.31,328.26,0.66,423.75,118.21,0.0,0.0,9.1,0.0,0.0,1814.08
92,174.62,10.0,0,39,0,1,499.37,0.0,6.5,123.31,0.0,0.23,14.22,0.0,0.0,0.0,0.0,0.0,130.05
93,335.63,14.0,0,41,0,1,292.89,0.0,73.61,246.3,0.0,5.6,202.84,0.0,0.0,0.0,0.81,0.0,326.32
94,618.54,11.0,1,35,0,1,632.09,0.0,71.66,572.43,0.0,6.91,482.53,0.0,0.0,0.0,0.0,0.0,651.01
95,565.2,20.0,1,46,0,1,0.0,0.0,84.29,321.62,0.0,85.0,113.74,0.0,0.0,0.0,0.0,0.0,490.91
96,459.99,16.0,1,27,0,1,0.0,0.0,12.72,406.67,0.0,0.0,126.34,0.0,0.0,0.0,0.0,0.0,419.39
97,425.8,11.0,1,23,0,1,0.0,0.0,113.06,317.87,0.0,3.11,112.7,0.0,0.0,0.0,0.0,0.0,434.04
98,344.46,23.0,1,28,1,1,313.49,0.0,15.11,312.56,0.0,0.17,277.82,0.0,0.0,0.0,0.05,0.0,327.9
99,763.56,21.0,1,28,0,2,757.9,0.0,192.75,597.1,0.0,3.08,697.33,0.0,0.0,0.56,0.0,5.34,804.18
100,130.97,14.0,1,42,0,1,144.43,0.0,7.05,122.41,0.0,0.0,86.75,0.0,0.0,0.0,1.68,0.0,131.13
101,140.85,19.0,0,38,0,1,147.17,0.0,25.63,117.66,0.0,3.71,78.6,0.0,0.0,0.0,0.0,0.0,147.0
102,282.28,11.0,1,27,1,2,446.79,0.0,16.11,155.65,0.0,0.42,162.61,0.0,0.0,0.0,0.33,0.0,172.52
103,999.88,10.0,1,40,0,1,0.0,0.0,60.33,508.58,0.0,1.5,136.28,0.0,0.0,0.0,4.08,0.0,574.49
104,675.45,14.0,1,31,0,1,508.17,0.0,51.96,374.32,0.0,81.81,373.88,0.0,0.0,0.64,0.0,0.0,508.72
105,469.69,11.0,1,23,0,1,639.55,0.0,62.45,431.46,0.0,0.69,468.86,0.0,0.0,0.0,0.0,0.0,494.6
106,447.02,18.0,1,26,1,1,170.22,0.0,10.66,151.77,0.0,0.0,162.43,0.0,0.0,0.0,0.0,0.0,162.43
107,527.97,16.0,1,56,0,1,492.72,0.0,58.43,450.27,0.0,0.0,202.48,0.0,0.0,0.0,0.0,0.0,508.71
108,215.13,15.0,1,38,0,1,176.48,0.0,70.23,97.97,0.0,4.34,152.8,0.0,0.0,0.17,0.44,0.0,173.17
109,364.65,20.0,1,38,0,1,293.29,0.0,44.75,274.15,0.0,1.27,226.18,0.0,0.0,0.0,0.0,0.7,321.57
110,451.46,23.0,1,25,1,1,346.26,0.0,42.68,355.53,0.0,2.58,449.77,0.0,0.0,0.0,64.77,1.45,468.46
111,585.72,11.0,1,24,0,2,736.4,0.0,81.29,393.01,0.0,31.43,475.25,0.0,0.0,0.0,0.18,52.8,611.51
112,1130.0,10.0,0,47,0,1,0.0,0.0,48.95,455.95,0.0,0.0,293.3,0.0,0.0,0.0,0.0,0.0,504.89
113,138.53,10.0,1,26,0,2,17.19,0.0,33.87,58.27,0.0,0.0,29.17,0.0,0.0,0.0,0.0,0.0,92.14
114,240.67,15.0,1,44,0,1,0.0,0.0,11.86,211.25,0.0,1.11,1.31,0.0,0.0,0.0,0.0,0.0,224.21
115,726.46,17.0,1,27,0,1,1181.09,0.0,282.95,347.8,0.0,26.78,588.57,0.0,0.0,0.0,0.0,0.28,658.09
116,750.79,11.0,1,30,0,1,0.0,0.0,142.95,633.42,0.0,14.0,203.82,0.0,0.0,0.0,0.0,0.0,790.37
117,682.27,16.0,1,27,0,1,0.0,0.0,69.85,430.46,0.0,2.19,130.82,0.0,0.0,0.0,0.0,0.0,502.5
118,250.18,11.0,1,39,0,2,229.73,0.0,11.76,236.53,0.0,0.0,30.94,0.0,0.0,0.0,0.0,0.0,248.29
119,463.43,19.0,1,22,0,1,0.0,0.0,12.77,213.23,0.0,0.73,73.52,0.0,0.0,0.0,0.0,0.0,226.72
120,429.79,11.0,1,45,0,1,0.0,0.0,40.2,197.7,0.0,0.0,13.17,0.0,0.0,0.0,0.0,0.0,237.9
121,253.37,10.0,1,31,0,1,204.14,0.0,6.76,231.4,0.0,0.0,148.46,0.0,0.0,0.0,0.0,0.0,238.16
122,181.18,23.0,1,30,0,1,0.0,0.0,11.68,78.52,0.0,8.67,14.38,0.0,0.0,0.0,0.55,0.0,99.42
123,350.96,13.0,1,23,0,1,0.0,0.0,10.24,243.3,0.0,0.42,78.91,0.0,0.0,0.0,0.0,0.0,253.95
124,288.09,23.0,1,27,0,2,819.42,0.0,78.16,79.81,0.0,0.0,157.97,0.0,0.0,0.0,0.0,0.0,157.97
125,769.74,10.0,1,30,1,1,0.0,0.0,320.37,359.67,0.0,0.0,34.87,0.0,0.0,0.64,0.0,0.0,680.68
126,187.07,10.0,1,20,0,1,0.0,0.0,36.38,126.93,0.0,0.0,53.17,0.0,0.0,0.0,0.0,0.0,163.32
127,375.96,17.0,0,31,1,1,0.0,0.0,18.53,86.6,0.0,0.0,21.84,0.0,0.0,0.0,0.0,0.0,105.14
128,68.64,18.0,0,33,0,1,0.0,0.0,7.67,59.5,0.0,2.57,6.66,0.0,0.0,0.0,0.0,0.0,69.74
129,1103.26,22.0,1,30,0,1,867.92,0.0,306.21,498.55,0.0,5.49,786.09,0.0,0.0,4.69,0.0,0.0,814.95
130,453.44,21.0,1,23,0,1,1200.94,0.0,174.26,301.3,0.0,0.0,475.55,0.0,0.0,0.0,0.0,0.0,475.55
131,297.36,11.0,1,21,0,1,0.0,0.0,91.22,207.72,0.0,0.0,35.7,0.0,0.0,1.89,0.0,0.0,300.83
132,265.87,11.0,1,33,0,1,316.49,0.0,155.72,135.04,0.0,0.89,264.29,0.0,0.0,2.84,0.0,0.0,294.48
133,247.68,10.0,1,46,1,1,0.0,0.0,43.39,115.21,0.0,0.0,16.09,0.0,0.0,0.0,0.0,0.0,158.6
134,412.53,17.0,1,26,0,1,411.63,0.0,19.95,382.27,0.0,0.86,44.59,0.0,0.0,0.0,0.0,0.7,404.49
135,266.85,11.0,1,44,0,1,250.07,0.0,2.63,267.35,0.0,0.0,42.83,0.0,0.0,0.0,0.0,0.0,269.98
136,109.89,15.0,1,26,0,1,48.43,0.0,16.39,38.29,0.0,0.0,54.68,0.0,0.0,0.0,0.0,0.0,54.68
137,244.3,16.0,1,28,0,1,168.43,0.0,31.78,137.36,0.0,4.7,143.22,0.0,0.0,4.55,0.0,0.0,178.39
138,253.58,16.0,0,31,0,1,270.49,0.0,34.44,234.64,0.0,0.0,176.53,0.0,0.0,0.0,0.0,0.27,269.61
139,329.27,11.0,1,38,0,2,527.52,0.0,126.2,146.81,0.0,1.04,256.03,0.0,0.0,0.46,6.31,0.0,280.83
140,275.27,19.0,1,25,0,1,245.0,0.0,29.73,236.02,0.0,0.0,232.6,0.0,0.0,0.0,0.0,0.0,265.75
141,666.6,10.0,1,32,0,1,610.24,0.0,68.87,644.1,0.84,0.0,675.29,0.0,0.0,0.0,0.0,0.0,713.82
142,448.7,10.0,1,20,1,2,0.0,0.0,20.69,379.89,0.0,0.29,259.2,0.0,0.0,0.0,3.97,0.0,404.85
143,333.68,11.0,0,36,0,1,194.24,0.0,32.24,162.25,0.0,20.82,82.13,0.0,0.0,0.0,0.0,0.0,215.31
144,469.18,18.0,1,33,0,1,387.17,0.0,59.18,354.51,0.0,11.4,338.68,0.0,0.0,0.23,0.01,0.0,425.34
145,145.78,21.0,1,36,0,1,0.0,0.0,7.93,153.15,0.0,0.22,79.27,0.0,0.0,0.0,0.0,0.0,161.3
146,440.64,11.0,0,40,0,2,109.95,0.0,15.95,265.66,0.0,0.79,69.86,0.0,0.0,0.0,0.0,0.0,282.4
147,611.06,17.0,1,35,0,2,158.9,0.0,35.65,585.2,0.0,6.11,219.86,0.0,0.0,0.0,0.0,0.0,626.96
148,123.67,17.0,0,39,0,2,286.19,0.0,6.71,52.91,0.0,0.0,7.88,0.0,0.0,0.0,0.0,0.0,59.62
149,601.22,11.0,1,38,0,1,0.0,0.0,33.76,216.68,0.0,0.99,20.21,0.0,0.0,1.6,0.0,0.0,253.03
150,425.3,11.0,1,23,0,1,201.21,0.0,151.55,69.55,0.0,0.0,214.62,0.0,0.0,0.0,0.0,0.0,221.1
151,487.12,10.0,1,30,1,1,0.0,0.0,207.71,140.57,0.04,4.09,0.66,0.0,0.0,0.0,1.66,0.0,354.08
152,256.8,11.0,1,26,0,1,0.0,0.0,16.44,60.25,0.0,0.0,23.63,0.0,0.0,2.04,0.0,0.0,78.73
153,1044.74,10.0,1,24,1,1,0.0,0.0,259.59,802.3,0.0,3.33,665.69,0.0,0.0,0.71,0.0,0.0,1065.92
154,318.24,10.0,0,26,1,1,147.79,0.0,75.33,72.02,0.07,0.49,150.73,0.0,0.0,0.0,5.16,0.0,153.07
155,1241.1,10.0,1,27,1,1,1185.37,0.0,153.81,845.19,0.56,12.94,713.61,0.0,0.0,0.0,23.98,1.95,1040.39
156,2573.7,16.0,1,48,1,2,0.0,0.0,379.51,2330.79,0.0,13.39,1375.79,0.0,0.0,9.56,0.0,0.0,2733.25
157,560.62,10.0,1,30,1,1,262.32,0.0,63.77,183.91,0.03,3.12,241.26,0.0,0.0,11.5,0.0,0.0,262.32
158,1921.58,23.0,1,28,1,1,0.0,0.0,116.01,685.39,0.29,119.98,9.76,0.0,0.0,0.0,0.0,0.0,921.67
159,286.06,22.0,1,24,0,1,0.0,0.0,10.44,63.29,0.0,0.0,2.79,0.0,0.0,0.0,0.0,0.0,73.73
160,169.5,23.0,1,38,0,1,191.01,0.0,9.45,171.07,0.0,0.46,100.76,0.0,0.0,0.0,6.7,0.0,187.68
161,1003.5,10.0,1,38,1,3,1097.49,0.0,282.06,625.87,0.0,6.06,624.3,0.0,0.0,26.24,0.0,0.0,940.23
162,154.7,11.0,0,24,0,1,0.0,0.0,13.97,38.68,0.0,0.0,8.09,0.0,0.0,0.0,0.0,0.0,52.64
163,1146.5,17.0,1,40,0,1,453.32,0.0,338.13,118.97,0.0,0.02,455.56,0.0,0.0,0.0,0.0,0.0,457.12
164,341.79,10.0,1,25,0,2,0.0,0.0,131.73,181.04,1.07,14.22,106.46,0.0,0.0,0.0,6.15,0.0,334.22
165,566.48,19.0,1,33,0,1,0.0,0.0,97.11,336.3,0.0,2.64,52.47,0.0,0.0,0.0,0.0,0.0,436.04
166,318.18,21.0,1,20,0,1,169.87,0.0,57.17,126.85,0.0,0.0,107.84,0.0,0.0,0.0,0.0,0.0,184.02
167,156.46,10.0,0,51,0,1,0.0,0.0,20.68,47.23,0.0,0.05,8.51,0.0,0.0,0.0,0.0,0.0,67.96
168,514.37,17.0,1,33,0,1,721.45,0.0,425.98,145.41,0.0,0.0,571.39,0.0,0.0,0.0,0.0,0.0,571.39
169,254.22,13.0,1,28,1,2,0.0,0.0,10.79,106.91,0.0,0.0,15.22,0.0,0.0,0.0,0.0,0.0,117.7
170,309.77,21.0,1,24,0,1,300.84,0.0,15.77,319.28,0.0,0.0,68.89,0.0,0.0,0.0,0.0,0.0,335.05
171,72.06,16.0,1,27,0,1,77.07,0.0,12.32,48.95,0.0,2.03,45.07,0.0,0.0,0.27,0.0,0.0,63.58
172,143.92,14.0,1,22,0,1,0.0,0.0,30.29,116.49,0.0,0.0,22.11,0.0,0.0,0.0,0.0,0.0,146.77
173,768.29,12.0,1,34,0,1,0.0,0.0,24.44,208.31,0.0,77.67,26.4,0.0,0.0,0.0,0.0,0.0,310.42
174,392.05,12.0,1,30,0,2,437.23,0.0,4.74,80.75,0.0,0.0,31.84,0.0,0.0,0.0,0.0,0.35,86.18
175,664.72,11.0,1,33,0,1,567.57,0.0,180.54,335.15,0.01,4.93,465.26,0.0,0.0,0.0,0.0,0.0,520.64
176,292.71,12.0,1,30,0,1,0.0,0.0,20.47,185.94,0.0,4.92,30.63,0.0,0.0,0.0,0.0,0.0,211.33
177,198.22,20.0,1,33,0,1,0.0,0.0,6.06,136.05,0.0,0.0,15.99,0.0,0.0,0.0,0.0,0.0,142.1
178,407.07,10.0,1,34,0,1,0.0,0.0,4.06,331.21,0.0,0.0,7.11,0.0,0.0,0.0,0.0,0.0,335.27
179,367.91,11.0,1,31,0,1,0.0,0.0,10.33,301.49,0.0,0.0,7.09,0.0,0.0,0.0,0.0,0.0,311.82
180,378.14,17.0,1,41,0,1,0.0,0.0,68.61,346.63,0.0,2.18,34.5,0.0,0.0,0.0,0.0,0.0,417.42
181,497.69,16.0,1,35,0,1,513.01,0.0,40.59,461.14,0.0,0.0,464.3,0.0,0.0,0.0,0.0,0.0,501.74
182,133.65,10.0,1,25,1,1,0.0,0.0,18.93,53.81,0.0,0.0,25.57,0.0,0.0,0.0,0.0,0.0,72.74
183,489.64,18.0,1,25,0,1,0.0,0.0,62.37,401.8,0.0,0.0,130.29,0.0,0.0,0.0,0.0,0.0,464.18
184,533.01,10.0,1,29,1,1,0.0,0.0,84.18,77.78,0.0,2.8,47.37,0.0,0.0,0.0,1.35,0.0,166.11
185,367.9,15.0,1,24,0,1,0.0,0.0,93.67,124.35,0.02,0.0,68.07,0.0,0.0,0.0,0.0,0.0,218.04
186,1831.4,19.0,1,37,0,2,2129.59,0.0,3.44,1882.72,0.0,1.74,137.85,0.0,0.0,0.0,0.0,0.0,1887.89
187,219.01,13.0,0,32,0,1,0.0,0.0,9.05,204.35,0.0,1.04,57.17,0.0,0.0,0.0,0.0,0.0,214.45
188,418.1,16.0,1,49,0,1,0.0,0.0,19.35,429.98,0.0,0.0,53.93,0.0,0.0,0.0,0.0,0.0,449.33
189,110.24,11.0,0,41,1,1,116.97,0.0,56.32,65.41,0.0,0.05,116.7,0.0,0.0,0.0,0.0,0.0,121.77
190,177.92,11.0,1,20,0,1,185.72,0.0,14.48,173.26,0.0,0.0,103.78,0.0,0.0,0.0,0.0,0.0,187.74
191,182.55,23.0,0,30,0,1,187.26,0.0,39.46,155.97,0.0,0.0,183.57,0.0,0.0,0.0,0.0,0.0,195.42
192,264.04,10.0,1,24,0,1,0.0,0.0,26.01,237.87,0.0,0.72,131.86,0.0,0.0,0.0,0.0,0.0,264.6
193,303.7,23.0,1,30,0,1,68.87,0.0,13.19,58.31,0.0,2.48,65.88,0.0,0.0,5.15,0.0,0.0,79.14
194,160.2,20.0,0,20,1,1,163.21,0.0,52.68,112.59,0.0,1.27,60.25,0.0,0.0,0.0,0.57,0.0,167.12
195,821.42,14.0,1,42,1,1,193.82,0.0,33.76,156.63,0.0,0.0,144.77,0.0,0.0,0.0,3.13,0.0,193.52
196,108.44,13.0,1,29,0,1,0.0,0.0,28.75,86.19,0.0,0.69,44.43,0.0,0.0,0.0,0.0,0.0,115.63
